Edges;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
24;5483.6;18716.8;13908;8508.4
851;86033.4;1.62038e+06;1.60995e+06;62700
2985;221450;1.02487e+07;1.00615e+07;132042
6238;423375;3.05663e+07;3.03963e+07;227025
10862;661975;6.81744e+07;6.83585e+07;339358
16819;959958;1.30619e+08;1.30669e+08;473383
23911;1.30051e+06;2.21184e+08;2.19895e+08;625175
32327;1.72426e+06;3.45135e+08;3.44609e+08;854517
41584;2.17252e+06;5.04162e+08;5.04086e+08;1.00704e+06
52555;2.63978e+06;7.13123e+08;7.34136e+08;1.21354e+06
64544;3.23664e+06;9.89181e+08;9.81246e+08;1.39132e+06
78459;3.72772e+06;1.29472e+09;1.29486e+09;1.65782e+06
92790;4.43696e+06;1.66463e+09;1.6666e+09;1.89429e+06
108673;5.11885e+06;2.16353e+09;2.11017e+09;2.19978e+06
125754;5.80021e+06;2.61261e+09;2.61247e+09;2.50438e+06
144107;6.63994e+06;3.20822e+09;3.21095e+09;2.85112e+06
163913;7.53212e+06;3.89688e+09;3.89435e+09;3.14066e+06
184397;8.43301e+06;4.72371e+09;4.72527e+09;3.47112e+06
206987;9.39249e+06;5.50519e+09;5.50205e+09;3.86076e+06
230530;1.03221e+07;6.46172e+09;6.46165e+09;4.20648e+06
254951;1.13604e+07;7.58562e+09;7.58448e+09;4.66716e+06
