Edges;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
45;7883.6;24283.4;22724.8;9341.6
1770;70333.4;3.33575e+06;3.2992e+06;76533.4
5995;169891;1.98765e+07;2.00047e+07;171208
12720;311375;6.09518e+07;6.09028e+07;307342
21945;472658;1.37503e+08;1.37312e+08;442333
33670;677600;2.62018e+08;2.60398e+08;612250
47895;889692;4.39453e+08;4.39012e+08;820392
64620;1.13019e+06;6.85869e+08;6.85793e+08;1.00968e+06
83845;1.42459e+06;1.01313e+09;1.01615e+09;1.24945e+06
105570;1.67927e+06;1.42372e+09;1.42667e+09;1.44109e+06
129795;2.01778e+06;1.95305e+09;1.94407e+09;1.72061e+06
156520;2.34352e+06;2.57109e+09;2.57758e+09;1.96467e+06
185745;2.76129e+06;3.33883e+09;3.35584e+09;2.28662e+06
217470;3.14429e+06;4.1972e+09;4.19399e+09;2.60973e+06
251695;3.53138e+06;5.22265e+09;5.21965e+09;2.86426e+06
288420;4.0467e+06;6.42214e+09;6.40811e+09;3.29462e+06
327645;4.56782e+06;7.75839e+09;7.74898e+09;3.65033e+06
369370;5.0366e+06;9.27803e+09;9.27802e+09;3.97397e+06
413595;5.59855e+06;1.0979e+10;1.0984e+10;4.39609e+06
460320;6.12688e+06;1.28877e+10;1.28871e+10;4.77763e+06
509545;6.77361e+06;1.50035e+10;1.50205e+10;5.35026e+06
