Edges;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
9;2166.8;7558.4;9417;5566.6
59;15450;124350;123417;42466.4
109;40991.6;398017;398542;99300
159;79125.2;829392;840650;174483
209;128475;1.42081e+06;1.41789e+06;268450
259;190416;2.16106e+06;2.18268e+06;381566
309;263850;3.0583e+06;3.06021e+06;513267
359;348033;4.1389e+06;4.15001e+06;663225
409;444350;5.37222e+06;5.35848e+06;837933
459;555133;6.75143e+06;6.72002e+06;1.01889e+06
509;674575;8.27672e+06;8.26263e+06;1.22368e+06
559;804975;9.97333e+06;1.00352e+07;1.44102e+06
609;949658;1.1827e+07;1.17807e+07;1.68766e+06
659;1.10438e+06;1.3936e+07;1.37598e+07;1.96091e+06
709;1.28789e+06;1.59367e+07;1.59958e+07;2.22761e+06
759;1.4549e+06;1.84456e+07;1.83053e+07;2.52709e+06
809;1.65276e+06;2.07544e+07;2.06983e+07;2.83091e+06
859;1.85373e+06;2.3453e+07;2.33765e+07;3.18479e+06
909;2.05886e+06;2.61587e+07;2.62145e+07;3.51229e+06
959;2.29321e+06;2.9191e+07;2.92522e+07;3.8699e+06
1009;2.52566e+06;3.2213e+07;3.23202e+07;4.28767e+06
