Vertexes;Full;Connected;Tree
10;7458.6;4391.8;1966.4
60;76283.2;90016.6;15566.8
110;175775;225675;41500
160;309859;423516;78633.2
210;480875;652517;128717
260;660392;958900;191067
310;871517;1.29232e+06;262883
360;1.12758e+06;1.70816e+06;348892
410;1.42012e+06;2.12562e+06;446966
460;1.7022e+06;2.64076e+06;556742
510;2.01998e+06;3.18477e+06;674650
560;2.36543e+06;3.8085e+06;807492
610;2.80492e+06;4.40686e+06;955475
660;3.12264e+06;5.05368e+06;1.10579e+06
710;3.64512e+06;5.8439e+06;1.27826e+06
760;4.04238e+06;6.63905e+06;1.45371e+06
810;4.55306e+06;7.49306e+06;1.64648e+06
860;5.02363e+06;8.37262e+06;1.84533e+06
910;5.57859e+06;9.32238e+06;2.06413e+06
960;6.2379e+06;1.14649e+07;2.61687e+06
1010;7.27768e+06;1.18869e+07;2.82095e+06
