Vertexes;Full;Connected;Tree
10;9008.2;8283.6;8491.4
60;82174.6;62949.8;42766.8
110;175850;137583;99691.8
160;300383;222516;174408
210;448908;338200;277600
260;603358;463667;381975
310;774825;615592;517266
360;979158;791367;662808
410;1.18688e+06;978667;839008
460;1.43788e+06;1.18543e+06;1.04322e+06
510;1.70962e+06;1.42504e+06;1.22726e+06
560;1.98897e+06;1.64899e+06;1.44731e+06
610;2.24008e+06;1.9098e+06;1.72556e+06
660;2.57933e+06;2.17697e+06;1.9592e+06
710;2.89922e+06;2.47858e+06;2.22533e+06
760;3.21685e+06;2.80538e+06;2.52802e+06
810;3.6074e+06;3.11677e+06;2.82817e+06
860;3.99028e+06;3.47304e+06;3.1653e+06
910;4.40339e+06;3.84878e+06;3.56261e+06
960;4.81936e+06;4.2409e+06;3.87732e+06
1010;5.2483e+06;4.68038e+06;4.40278e+06
