Vertexes;Full;Connected;Tree
10;26608;14116.8;7400
60;3.34909e+06;1.65431e+06;124550
110;2.02172e+07;1.01227e+07;397408
160;6.091e+07;3.02722e+07;829283
210;1.37768e+08;6.88326e+07;1.43008e+06
260;2.60309e+08;1.30608e+08;2.16845e+06
310;4.40702e+08;2.21906e+08;3.06196e+06
360;6.8644e+08;3.44961e+08;4.14817e+06
410;1.0128e+09;5.08167e+08;5.32212e+06
460;1.44086e+09;7.19023e+08;6.77422e+06
510;1.93898e+09;9.75771e+08;8.31348e+06
560;2.57843e+09;1.28696e+09;1.00577e+07
610;3.39171e+09;1.66591e+09;1.19184e+07
660;4.23811e+09;2.09945e+09;1.3991e+07
710;5.23898e+09;2.63583e+09;1.60292e+07
760;6.41378e+09;3.24941e+09;1.83688e+07
810;7.75772e+09;3.89471e+09;2.0672e+07
860;9.26909e+09;4.69511e+09;2.33473e+07
910;1.10012e+10;5.50442e+09;2.61831e+07
960;1.28847e+10;6.46606e+09;2.91515e+07
1010;1.50033e+10;7.53497e+09;3.21886e+07
