Vertexes;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
10;6258.4;14691.6;13200;8300
60;88250.2;1.68268e+06;1.64321e+06;58616.6
110;222617;1.00264e+07;1.00133e+07;140608
160;415466;3.04397e+07;3.02798e+07;230642
210;645658;6.87776e+07;6.86316e+07;348233
260;957258;1.30785e+08;1.3053e+08;487542
310;1.29818e+06;2.24325e+08;2.2064e+08;621492
360;1.68144e+06;3.443e+08;3.43249e+08;833642
410;2.19278e+06;5.05017e+08;5.04037e+08;992100
460;2.63413e+06;7.14217e+08;7.16715e+08;1.22944e+06
510;3.2029e+06;9.76034e+08;9.80288e+08;1.41921e+06
560;3.76628e+06;1.28779e+09;1.28969e+09;1.64933e+06
610;4.44331e+06;1.66543e+09;1.67638e+09;1.89431e+06
660;5.08605e+06;2.10096e+09;2.09954e+09;2.19822e+06
710;5.86601e+06;2.62335e+09;2.63001e+09;2.49208e+06
760;6.65297e+06;3.22726e+09;3.22409e+09;2.78027e+06
810;7.53369e+06;3.88556e+09;3.8856e+09;3.14433e+06
860;8.45709e+06;4.7123e+09;4.68996e+09;3.51772e+06
910;9.43906e+06;5.48963e+09;5.49423e+09;3.82899e+06
960;1.02948e+07;6.47062e+09;6.48117e+09;4.28625e+06
1010;1.14172e+07;7.50404e+09;7.53651e+09;4.65098e+06
