Vertexes;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
10;7233.4;25041.4;23966.4;8408.4
60;83100.2;3.61567e+06;3.68473e+06;95291.4
110;195008;2.03098e+07;2.01059e+07;177442
160;324017;6.12936e+07;6.14534e+07;300742
210;465950;1.38044e+08;1.37798e+08;451208
260;653683;2.60239e+08;2.60384e+08;614458
310;863325;4.39735e+08;4.40588e+08;777308
360;1.13175e+06;6.85917e+08;6.86428e+08;1.01508e+06
410;1.41359e+06;1.01345e+09;1.01451e+09;1.23425e+06
460;1.71966e+06;1.43244e+09;1.43193e+09;1.47331e+06
510;2.04156e+06;1.94265e+09;1.94431e+09;1.74342e+06
560;2.36592e+06;2.57515e+09;2.57639e+09;1.98102e+06
610;2.77999e+06;3.35758e+09;3.36833e+09;2.28954e+06
660;3.15006e+06;4.20136e+09;4.20008e+09;2.59769e+06
710;3.57915e+06;5.23177e+09;5.22132e+09;2.9842e+06
760;4.05569e+06;6.42087e+09;6.41713e+09;3.31696e+06
810;4.57358e+06;7.77497e+09;7.75536e+09;3.62616e+06
860;5.08105e+06;9.27958e+09;9.27869e+09;4.02735e+06
910;5.62088e+06;1.10012e+10;1.0987e+10;4.4055e+06
960;6.18815e+06;1.28866e+10;1.29031e+10;4.85457e+06
1010;6.73777e+06;1.50276e+10;1.50088e+10;5.26579e+06
