Vertexes;Dijkstra on pq;Ford-Bellman;Floyd-Warshall;Dijkstra on set
10;3041.8;8733.2;7175;6033.2
60;16349.8;125425;127841;43608.6
110;41150.2;401450;397058;101167
160;79141.6;836817;829800;175633
210;128500;1.42907e+06;1.41474e+06;268567
260;190058;2.19995e+06;2.16963e+06;382667
310;264708;3.06292e+06;3.16034e+06;514533
360;350158;4.12695e+06;4.12068e+06;682792
410;444750;5.34084e+06;5.32079e+06;853925
460;554883;6.80372e+06;6.73574e+06;1.01997e+06
510;674009;8.23548e+06;8.21949e+06;1.23318e+06
560;809917;9.94149e+06;9.90995e+06;1.44751e+06
610;955583;1.18132e+07;1.18562e+07;1.68841e+06
660;1.10578e+06;1.38091e+07;1.37515e+07;1.9461e+06
710;1.27255e+06;1.5942e+07;1.59222e+07;2.24382e+06
760;1.45259e+06;1.82533e+07;1.83844e+07;2.51527e+06
810;1.64982e+06;2.07262e+07;2.07149e+07;2.84203e+06
860;1.84713e+06;2.33556e+07;2.34237e+07;3.17528e+06
910;2.05894e+06;2.61124e+07;2.60881e+07;3.51655e+06
960;2.28868e+06;2.90637e+07;2.91383e+07;3.90359e+06
1010;2.53029e+06;3.44954e+07;3.22674e+07;4.26022e+06
